size,files
1678.0,516
1679.0,764
1680.0,219
1681.0,341
1682.0,1179
1683.0,170
1684.0,684
1685.0,307
1686.0,523
1687.0,1167
1688.0,950
1689.0,1076
1690.0,543
1691.0,394
1692.0,200
1693.0,510
1694.0,478
1695.0,249
1696.0,640
1697.0,40
1698.0,137
1699.0,147
1700.0,263
1701.0,310
1702.0,212
1703.0,159
1704.0,93
1705.0,197
1706.0,197
1707.0,165
1708.0,628
1709.0,561
1710.0,130
1711.0,235
1712.0,347
1713.0,321
1714.0,173
1715.0,210
1716.0,180
1717.0,887
1718.0,38
1719.0,97
1720.0,2193
1721.0,494
1722.0,133
1723.0,823
1724.0,480
1725.0,850
1726.0,156
1727.0,192
1728.0,474
1729.0,830
1730.0,397
1731.0,57
1732.0,39
1733.0,833
1734.0,117
1735.0,467
1736.0,504
1737.0,190
1738.0,497
1739.0,450
1740.0,994
1741.0,1157
1742.0,479
1743.0,178
1744.0,175
1745.0,56
1746.0,310
1747.0,1024
1748.0,180
1749.0,266
1750.0,464
1751.0,774
1752.0,527
1753.0,893
1754.0,232
1755.0,127
1756.0,236
1757.0,903
1758.0,644
1759.0,351
1760.0,419
1761.0,247
1762.0,294
1763.0,421
1764.0,502
1765.0,688
1766.0,150
1767.0,306
1768.0,654
1769.0,398
1770.0,711
1771.0,309
1772.0,346
1773.0,178
1774.0,58
1775.0,203
1776.0,323
1777.0,195
1778.0,278
1779.0,230
1780.0,118
1781.0,348
1782.0,892
1783.0,407
1784.0,144
1785.0,50
1786.0,1190
1787.0,695
1788.0,92
1789.0,762
1790.0,339
1791.0,262
1792.0,335
1793.0,465
1794.0,420
1795.0,173
1796.0,353
1797.0,284
1798.0,360
1799.0,61
1800.0,84
1801.0,276
1802.0,1091
1803.0,802
1804.0,235
1805.0,171
1806.0,150
1807.0,99
1808.0,113
1809.0,290
1810.0,74
1811.0,184
1812.0,418
1813.0,177
1814.0,184
1815.0,124
1816.0,332
1817.0,306
1818.0,73
1819.0,379
1820.0,37
1821.0,102
1822.0,105
1823.0,925
1824.0,121
1825.0,49
1826.0,510
1827.0,190
1828.0,70
1829.0,105
1830.0,101
1831.0,33
1832.0,806
1833.0,451
1834.0,909
1835.0,850
1836.0,190
1837.0,157
1838.0,70
1839.0,1155
1840.0,903
1841.0,581
1842.0,33
1843.0,1761
1844.0,155
1845.0,379
1846.0,63
1847.0,57
1848.0,43
1849.0,396
1850.0,410
1851.0,181
1852.0,48
1853.0,377
1854.0,147
1855.0,772
1856.0,210
1857.0,148
1858.0,76
1859.0,234
1860.0,582
1861.0,33
1862.0,207
1863.0,183
1864.0,350
1865.0,144
1866.0,203
1867.0,445
1868.0,155
1869.0,118
1870.0,206
1871.0,182
1872.0,1513
1873.0,108
1874.0,330
1875.0,783
1876.0,153
1877.0,57
1878.0,30
1879.0,128
1880.0,114
1881.0,103
1882.0,60
1883.0,63
1884.0,51
1885.0,204
1886.0,87
1887.0,87
1888.0,102
1889.0,354
1890.0,107
1891.0,473
1892.0,83
1893.0,301
1894.0,405
1895.0,610
1896.0,77
1897.0,133
1898.0,512
1899.0,114
1900.0,189
1901.0,103
1902.0,78
1903.0,594
1904.0,596
1905.0,836
1906.0,97
1907.0,216
1908.0,1820
1909.0,82
1910.0,56
1911.0,65
1912.0,23
1913.0,61
1914.0,82
1915.0,81
1916.0,653
1917.0,367
1918.0,79
1919.0,1127
1920.0,124
1921.0,39
1922.0,839
1923.0,78
1924.0,66
1925.0,109
1926.0,179
1927.0,138
1928.0,75
1929.0,694
1930.0,68
1931.0,147
1932.0,41
1933.0,106
1934.0,475
1935.0,121
1936.0,82
1937.0,47
1938.0,100
1939.0,45
1940.0,137
1941.0,96
1942.0,39
1943.0,81
1944.0,2204
1945.0,63
1946.0,55
1947.0,23
1948.0,77
1949.0,25
1950.0,663
1951.0,440
1952.0,273
1953.0,267
1954.0,27
1955.0,81
1956.0,24
1957.0,25
1958.0,285
1959.0,197
1960.0,254
1961.0,236
1962.0,71
