extension,files,repositories,avg_size,std_size
.bin/archive-type,666,155,79.576576576576585,217.6226111738558
.bin/acorn,9591,3775,145.46470649567306,354.88302700674654
.bin/_mocha,2796,2340,633.45028612303281,2374.6706767318606
.bin,2898379,34150,43768.836877440874,803614.33691046573
.bim,557,107,351357.61400359072,1287715.6248497895
.bil,1051,41,1727518.2350142705,3123670.1290143975
.big5,1304,198,32310.005368098151,618379.4121118146
.biblatex,890,11,1820.9696629213495,1758.3060042845009
.bib,44270,13055,33264.024779760512,480177.93134885514
.bi,5381,214,10579.798922133432,53989.169444040694
.bh,703,142,902.055476529161,3311.9735375516198
.bgptheme,903,45,1517.9723145071987,1516.1385118245437
.bgf,5417,71,17843.085656267296,243800.51379756682
.bg,1181,240,543900.81202370906,5238522.6457191221
.bft,2407,91,751.88699626090579,758.75753354160793
.bfo,1827,78,68.18445539135196,189.32665437899215
.bff,897,151,362261.55964325531,1421854.4274377804
.bfd,1639,743,1174819.8883465538,1309128.5788987444
.bfc,906,328,4250.948123620311,2921.9704807070771
.bf,4794,852,87954.577388402118,1288891.8768975195
.betwixt,511,14,409.04109589041104,319.18986339802757
.bescmd,1169,22,450.3267750213858,787.57558518102735
.ber,6255,170,524.89896083133522,11178.292667260584
.beos,1017,910,5191.0668633234973,2894.6361298555385
.benchmark,855,303,2448.2210526315794,3346.398905003166
.bench,649,193,52336.480739599407,635087.12907408876
