repo_name,paths,package_avg,imports_avg
nikita36078/J2ME-Loader,538,3.1505576208178456,6.0669144981412639
apache/arrow,538,5.3066914498141262,11.228624535315982
reasonml-editor/reasonml-idea-plugin,538,5.8568773234200728,8.3122676579925656
FreeCol/freecol,794,6.0516372795969806,13.148614609571784
skyvers/skyve,1306,6.6378254211332326,11.552067381317004
ARM-software/lisa,27,7.7777777777777768,13.666666666666664
Blazemeter/taurus,27,4.7407407407407405,7.4074074074074074
ist-dsi/fenixedu-id-cards,27,5.8148148148148149,9.5555555555555571
Nearsoft/google-code-jam,27,2.0370370370370368,3.8148148148148149
mattermost/mattermost-mobile,27,7.0370370370370363,12.851851851851851
mediathekview/MediathekView,283,6.7597173144876326,9.6925795053003529
openweave/openweave-core,3867,2.7993276441686068,6.14041892940263
facebook/watchman,28,6.2857142857142856,12.0
dmlc/xgboost,28,3.0714285714285712,5.5357142857142856
MadManRises/Madgine,28,2.6428571428571428,4.9642857142857135
marius-m/wt4,28,3.964285714285714,7.7142857142857153
zalando/tracer,28,4.5714285714285712,7.5
openforis/collect-earth-online,28,6.9999999999999991,16.857142857142854
GerritCodeReview/gerrit,2844,7.6916315049226345,14.168424753867804
metasfresh/metasfresh,13084,7.0573983491287109,11.420360745949237
chrislusf/seaweedfs,29,4.5862068965517242,8.96551724137931
Genymobile/scrcpy,29,3.068965517241379,4.8275862068965516
martykan/forecastie,30,8.9333333333333336,13.933333333333334
TeamWizardry/LibrarianLib,30,4.6333333333333329,7.3000000000000007
bitrich-info/xchange-stream,286,5.6923076923076916,8.09090909090909
f-droid/fdroidclient,286,8.104895104895105,15.300699300699304
sklintyg/statistik,542,5.7011070110701088,11.14760147601476
yegor256/cactoos,542,3.3376383763837638,5.0405904059040614
coursier/coursier,31,3.3870967741935485,6.4838709677419359
EasyRPG/Player,31,7.709677419354839,13.580645161290324
dmlc/tvm,31,2.8064516129032264,6.129032258064516
ming-soft/MCMS,31,8.5161290322580641,11.580645161290324
vase4kin/TeamCityApp,31,3.7741935483870961,4.870967741935484
csound/csound,31,6.0967741935483879,11.322580645161288
swisscom/open-service-broker,31,5.1290322580645151,8.064516129032258
epeios-q37/epeios,31,2.129032258064516,2.354838709677419
pkiraly/metadata-qa-marc,799,3.1564455569461809,5.2040050062578249
resilience4j/resilience4j,799,5.3053817271589505,8.0613266583229031
arianne/stendhal,2591,5.4453878811269751,9.8020069471246547
Jasig/cas,3359,7.9136647811848828,12.063114022030369
geotools/geotools,10783,5.365946397106546,10.013354354075867
GlukKazan/Dagaz,32,3.5625000000000004,6.0625000000000009
AoEiuV020/PaNovel,32,4.3125,7.0312500000000009
CajetanP/code-learning,32,3.9687500000000004,5.46875
palantir/sls-packaging,32,7.65625,12.75
iotaledger/iri,288,5.4930555555555554,9.20833333333333
wix/react-native-navigation,288,6.0763888888888911,9.6180555555555554
dataloom/datastore,33,14.787878787878789,24.303030303030305
firebase/firebase-cpp-sdk,33,2.393939393939394,4.1515151515151514
iLib-js/iLib,33,2.9090909090909087,6.6666666666666661
TouK/nussknacker,33,3.1818181818181817,6.454545454545455
reactor/reactor-core,801,6.077403245942568,9.81897627965044
metasfresh/metasfresh-webui-api,1057,9.4115421002838175,15.487228003784296
JacquesCarette/literate-scientific-software,34,1.6764705882352942,5.0294117647058822
vert-x3/vertx-auth,290,4.6275862068965532,7.0137931034482754
google/graphicsfuzz,546,5.4249084249084252,11.415750915750918
material-components/material-components-android,546,8.0604395604395584,14.148351648351648
hneemann/Digital,802,4.5236907730673295,7.542394014962591
PrinceOfAmber/CyclicMagic,802,9.7855361596010013,13.900249376558607
MyCoRe-Org/mycore,1314,6.4467275494672753,12.157534246575347
opencb/opencga,1314,9.7663622526636225,14.513698630136986
apache/kylin,1826,6.6982475355969306,12.533406352683468
clinical-meteor/meteor-on-fhir,35,6.3142857142857141,13.714285714285714
wso2-extensions/identity-inbound-provisioning-scim2,35,11.457142857142857,20.428571428571431
vulhub/vulhub,35,3.8285714285714283,5.5142857142857133
GerritCodeReview/plugins_quota,35,6.7142857142857153,10.571428571428573
felamaslen/budget,35,5.9142857142857146,9.2571428571428562
David-Development/ownCloud-Account-Importer,35,5.2285714285714278,9.1142857142857139
aika-algorithm/aika,35,4.0571428571428569,7.0857142857142854
gudaoxuri/dew,291,5.3333333333333321,7.4982817869415808
saki4510t/libcommon,291,5.3642611683848784,8.93814432989691
apache/groovy,1315,3.8980988593155894,10.740684410646386
M66B/NetGuard,36,9.8333333333333339,19.777777777777775
NativeScript/NativeScript,36,4.8611111111111116,9.9444444444444464
GenweiWu/Blog,36,2.9166666666666665,5.3888888888888884
spring-cloud-incubator/spring-cloud-gateway,292,8.7260273972602747,12.767123287671236
raoulvdberge/refinedstorage,548,8.48905109489051,10.958029197080293
mickleness/pumpernickel,804,4.4975124378109461,11.284825870646763
cBioPortal/cbioportal,1060,5.8424528301886784,8.9943396226415082
jenkinsci/jenkins,1572,7.1653944020356271,13.757633587786257
cuba-platform/cuba,3876,5.7997936016511877,8.55340557275542
EricJoosse/Integrador-Sistemas-com-PortalCronos-para-Fornecedores,37,5.2432432432432439,10.918918918918921
wso2-extensions/identity-governance,293,7.9044368600682624,12.191126279863484
nikiroo/fanfix,293,3.7372013651877145,8.4982935153583643
wso2/security-tools,293,5.9215017064846434,9.6757679180887415
glyptodon/guacamole-client,549,3.9508196721311482,6.9362477231329693
FreeRDP/FreeRDP,38,6.36842105263158,11.184210526315789
ElektraInitiative/libelektra,38,2.0263157894736845,3.3421052631578956
telldus/telldus-live-mobile-v3,38,8.3684210526315788,17.710526315789473
jruby/activerecord-jdbc-adapter,38,6.2105263157894717,13.763157894736841
bozaro/git-as-svn,294,6.5068027210884338,9.7210884353741527
jacksonic/vjlofvhjfgm,294,3.6462585034013597,5.9591836734693882
TeamLapen/Vampirism,550,9.4236363636363638,13.28
ignatandrei/stankins,39,4.333333333333333,7.6410256410256405
erlang/otp,39,1.6153846153846154,3.7179487179487181
bmwcarit/joynr,1063,6.31138287864534,12.291627469426158
jimmy-little/jimmy-little.github.io,40,3.55,5.325
copasi/COPASI,40,2.325,5.425
react-native-community/react-native-svg,40,5.5499999999999989,11.9
kbaseapps/kb_phylogenomics,40,3.075,8.1500000000000021
networknt/light-codegen,40,8.325,13.274999999999999
zdila/gpx-animator,40,5.375,11.1
gorkem/java-language-server,552,7.4076086956521738,19.572463768115941
wso2/carbon-analytics,552,5.7173913043478279,9.28442028985507
openthinclient/openthinclient-manager,1064,5.4633458646616528,9.875
SeleniumHQ/selenium,1320,4.532575757575759,9.456818181818182
cytoscape/cytoscape-impl,2344,5.7107508532423212,12.363054607508532
